datetime,timestamp,price,action,position_type,quantity,balance,networth,reward,reward_networth,reward_action,reward_market,done,trade_count,profitable_trades,win_rate,total_profit,max_drawdown
2020-04-09 06:00:00+00:00,1586412000,7309.0,buy,long,0.2739744161929816,8006.080389991306,10008.559397945808,-104.26096408229695,95.89104566748574,-200.15200974978268,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 07:00:00+00:00,1586415600,7322.0,hold,long,0.2739744161929816,8006.080389991306,10012.121065356318,356.1767410509472,356.16674105094717,0.01,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 08:00:00+00:00,1586419200,7327.0,hold,long,0.2739744161929816,8006.080389991306,10013.490937437282,137.0072080964342,136.9872080964342,0.02,0,False,58,32,0.5517241379310345,7.6004874891362295,0.019426848419081072
2020-04-09 09:00:00+00:00,1586422800,7293.0,close_long,None,0.0,10013.490937437282,10013.490937437282,589.0449948149103,0.0,589.0449948149103,0,False,59,33,0.559322033898305,13.490937437285332,0.019426848419081072
2020-04-09 10:00:00+00:00,1586426400,7304.5,sell,short,0.27460553784278846,10013.490937437282,10010.332973752089,-516.019783555744,-315.79636851929536,-200.26981874874562,0.046403712296984034,False,59,33,0.559322033898305,13.490937437285332,0.019426848419081072
2020-04-09 11:00:00+00:00,1586430000,7186.5,hold,short,0.27460553784278846,10013.490937437282,10042.736427217538,3240.371115090108,3240.3453465449275,0.01,0.015768545180310234,False,59,33,0.559322033898305,13.490937437285332,0.019426848419081072
2020-04-09 12:00:00+00:00,1586433600,7300.0,hold,short,0.27460553784278846,10013.490937437282,10011.568698672383,-3116.591310261969,-3116.7728545155114,0.02,0.16154425354233726,False,59,33,0.559322033898305,13.490937437285332,0.019426848419081072
2020-04-09 13:00:00+00:00,1586437200,7326.0,hold,short,0.27460553784278846,10013.490937437282,10004.42895468847,-713.7864633742463,-713.9743983912922,0.030000000000000002,0.15793501704584934,False,59,33,0.559322033898305,13.490937437285332,0.019737604220891533
2020-04-09 14:00:00+00:00,1586440800,7318.0,hold,short,0.27460553784278846,10013.490937437282,10006.625798991212,219.76004671252994,219.6844302741738,0.04,0.035616438356165236,False,59,33,0.559322033898305,13.490937437285332,0.019737604220891533
2020-04-09 15:00:00+00:00,1586444400,7273.5,hold,short,0.27460553784278846,10013.490937437282,10018.845745425217,1222.055563411387,1221.9946434004669,0.05,0.01092001092001138,False,59,33,0.559322033898305,13.490937437285332,0.019737604220891533
2020-04-09 16:00:00+00:00,1586448000,7277.0,close_short,None,0.0,10018.845745425217,10018.845745425217,535.4807987934375,0.0,535.4807987934375,0.0,False,60,34,0.5666666666666667,18.845745425219707,0.019737604220891533
2020-04-09 17:00:00+00:00,1586451600,7288.0,hold,None,0.0,10018.845745425217,10018.845745425217,0.0,0.0,0.0,0.0,False,60,34,0.5666666666666667,18.845745425219707,0.019737604220891533
2020-04-09 18:00:00+00:00,1586455200,7248.0,hold,None,0.0,10018.845745425217,10018.845745425217,0.0,0.0,0.0,0.0,False,60,34,0.5666666666666667,18.845745425219707,0.019737604220891533
2020-04-09 19:00:00+00:00,1586458800,7259.5,hold,None,0.0,10018.845745425217,10018.845745425217,0.0,0.0,0.0,0.0,False,60,34,0.5666666666666667,18.845745425219707,0.019737604220891533
